Id;ControlWeighingScheduleTypeId;ControlWeighingEvaluationTypeId;WeightSettingId;AuditDate;CreaterId;DeletedDate;DeletedUser;IsDelete;SecondWeightSettingId;IsActive;Limit;IsRelativeLimit;ReferenceWeight;IsBlockedWeightSetting;ThreeWeightSettingId
3;2;2;10;2023-07-17 15:01:02.320;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;13;1;12.000000;0;1000.000000;0;NULL
4;4;3;101;2023-08-09 11:06:42.907;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;102;1;1.000000;0;0.000000;0;NULL
5;4;3;106;2023-08-09 11:07:15.713;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;107;1;1.000000;1;0.000000;0;NULL
6;4;2;105;2023-08-09 11:07:38.050;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;NULL;1;1.000000;1;1000.000000;0;NULL
7;4;2;49;2023-08-09 11:17:36.040;ae45bc38-6315-4a7d-ae4b-034251898d32;NULL;NULL;0;NULL;1;1.000000;0;1000.000000;0;NULL
8;2;2;71;2023-08-09 16:22:47.533;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;119;1;10.000000;1;1000.000000;0;NULL
9;2;2;15;2023-08-10 09:55:48.097;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;10;1;15.000000;0;1000.000000;0;NULL
10;2;2;15;2023-08-10 10:21:53.323;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;10;1;5.000000;1;1000.000000;0;NULL
11;2;3;15;2023-08-10 10:56:57.270;940a30e6-54d5-4b32-9df0-88c1c4d42560;NULL;NULL;0;10;1;10.000000;0;1000.000000;0;NULL
